IncidentDate,Time,MGRS,Latitude,Longitude,Admin0,Admin1,Admin2,Explosion?,ExplosionType,Attacks?,IncidentType,GroupInitiating,Targets,IncidentCategory,Description,DeathCount,InjuredCount,CivilianInjuries?,Within5km?,Source,ConflictOrCrimeOriented,Notes
2024-11-14,,37PBQ1778520883,12.8402,36.4,Amhara,,West Gonder,Yes,,Yes,Battle,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On November 14th, 2024 Reports indicate that young people from various areas in East Hararghe, Oromia, particularly rural kebeles in the Bedeno Woreda, were detained without court orders and taken to unknown locations. Sources say the detentions began a week ago, and families were not informed about the whereabouts of their relatives. Allegedly, youths are being detained due to accusations of links with the OLA. This week, reports from other areas in Oromia also suggest ongoing forced recruitment of youths into military training camps.(source: Wazema Radio )",No,0,No,No,PLSO,conflict Oriented,
2024-11-14,,38PKR5837334403,9.3509,42.8,Somali,,Jijiga CITY,No,,No,Court sentenced,Ethiopia’s Federal High Court in Jijiga,five individuals who support al-Shabaab group,Miscellaneous,"On November 14th, 2024 Over 100 individuals detained in the Amuru Woreda of Horo Guduru Wollega Zone for alleged ties with armed groups reportedly remained in police custody for more than seven months without a court appearance. Families of the detainees, primarily farmers, reported that their loved ones were arrested without due process, and family members had not been informed of their location. Efforts to obtain explanations from local police were unsuccessful. The Ethiopian Human Rights Commission confirmed the detentions and is investigating the case.(source DW Amharic: )",No,0,No,No,Media/PLSO,Legal Oriented,
2024-11-14,,37PGL8965808509,9.114,41.6353,Oromia,,East Hararghe/Bedeno Woreda,No,,No,GOE Detention,GOE,young people/ Residents,Miscellaneous,"On November 14, 2024, Peaceful demonstrations for seeking peace were held in different zones of Oromia region including West Showa, East Showa, Kelem Welega and Arsi zones. Reports show that religious leaders and various community members were attended in this public rally. The regional communication office reported that the participants of the rally conveyed messages such as 'We will do our part to maintain peace, stop suffering of the people due to the lack of peace and maintain a peace is modernization etc.… (Source: FBC Link https://www.fanabc.com/archives/270917",No,0,No,No,Media/PLSO,Politically Oriented,
2024-11-14,,37PCL0622976841,9.737,37.2336,Oromia,,wollega Zone/Horo Guduru,No,,No,GOE Detention,GOE,Residents,Miscellaneous,"On Nov 14, 2024 An artillery shelling occurred near Ambassel Mountain in the Ambassel Woreda, South Wollo Zone, which has become a hotspot for frequent artillery shelling by government forces.",No,0,No,No,Media/PLSO,Politically Oriented,
2024-11-14,,37PCL7589832860,9.342,37.8699,Oromia,,"West Shewa East Showa, kelem welega & Arsi zones",No,,No,Pro Host Goverment,Regional government supporters,community,Demonstration,"On November 14, 2024, Addis Ababa Police reported Pickpocketing and spit scamming criminals were arrested. They are organized criminals moving by vehicle from place to place in the city. Three were arrested after committing similar crime in Nifas Silk Lafto (Saris) and Arada sub-city (Churchill Road). Police retrieved four stolen mobile phones from their vehicle after searching. From previous reports, sometimes the theft is preceded by an assault; some may have knife, some may destruct the victim with something, or spits on victim. (source Addis Ababa Police Link https://t.me/addispolice)",No,0,No,No,Media,Politically Oriented,
2024-11-14,,37PEN5452471330,11.5002,39.5,Amhara,,South Wollo,Yes,,Yes,Shelling/Artillery/missile attack,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On November 13th, Merchants in Addis Ababa's Mercato market shut down shops on November 13th in protest, claiming unauthorized individuals confiscated goods for being sold without proper receipts. The Addis Ababa Revenue Bureau denied involvement, stating that only customs officials have the authority to seize property for tax issues. The bureau further clarified its recent focus on ensuring transactions with receipts and warned of 100,000 birr fines for violations as part of its new tax enforcement measures across city markets ( source Sheger FM 102.1)",No,0,No,No,PLSO,conflict Oriented,
2024-11-14,,37PDK7273397559,9.0244,38.7519,Addis Ababa,,Addis Ababa/churchill road&Saris Areas,No,,No,Theft,Criminals,community,Crime,"On Nov 13, 2024 Continuous artillery shelling led to the deaths of four civilians‚Äîtwo at their homes and two while harvesting crops on their farmland. This incident occurred around Robit town, close to Wuchale, the largest settlement in the Ambasel Woreda, South Wollo Zone.",No,0,No,No,Media,Crime Oriented,
2024-11-13,,37PDK7127898327,9.0313,38.7387,Addis Ababa,,Addis Ababa/Merkato Market Area,No,,No,Protest,Merchants,Community,peaceful protest,"On Nov 12, 2024 Fano fighters launched a surprise attack on a government military camp in Mekane Yesus Town, the administrative center of the Este Woreda in the South Gondar Zone. The sudden assault resulted in casualties.",No,0,No,No,Media/PLSO,Economic Oriented,
2024-11-13,,37PEN5447171936,11.5056,39.4995,Amhara,,South Wollo/Ambasel,Yes,Artillery,Yes,Shelling/Artillery/missile attack,FANO & ENDF,FANO & ENDF,Explosives/Remote Violence,"On November 11th, Ethiopian National Defense Forces have intensified operations against the OLA insurgents in the West Shewa and Horro Gudru Wollega zones. Colonel Tadesse, a regional military leader, stated that efforts are focused on restoring peace in Jimma Areri, Meda Qen, and Dano. As part of the ongoing campaign, weapons and key personnel from the insurgent group have been seized, with the defense forces claiming that the group now has limited capacity to resist. (Source: FDRE Defense Force: telegram Page https://t.me/+E_EOiTY9eq85OD10)",yes,0,No,No,PLSO,conflict Oriented,
2024-11-12,,37PCN9750084747,11.6204,38.0598,Amhara,,Este/ South Gonder,No,,Yes,Ambush,FANO & ENDF,FANO & ENDF,Miscellaneous,"On November 11, 2024, head of the Prosperity Party (PP) office in Kobo town, North Wollo Zone of the Amhara region, Deribe Belete was shot dead by Fano militia, around 10:00 AM, while having breakfast at the Mickiele Solomon Hotel in Kobo town. (source Addis Standard Link https://addisstandard.com/kobo-town-prosperity-party-secretary-killed-amid-rising-attacks-on-local-officials-in-amhara-region/ )",yes,0,Yes,No,PLSO,conflict Oriented,
2024-11-11,,37PCL0466172612,9.6987,37.2195,Oromia,,West Shewa / Horro Gudru Wollega zones,No,,No,Military Action,ENDF & OLA,OLA militants,Miscellaneous,"On November 10, 2024 a hand grenade was thrown to residence compound of Belayneh Kinde, in Lideta Sub-city of Addis Ababa in Mechare meda area. Belayneh Kinde is a wealthy businessman from the Amhara region and said to be close with the government. No injuries reported except a damage to a vehicle parked inside his residence compound. No group or individual took responsibility for the hand grenade attack.",No,0,No,No,Media,Politically Oriented,
2024-11-11,10:00,37PFM6376582777,10.6961,40.4974,Amhara,,North Wello/Kobo town,No,,yes,Murder,"Unidentified Armed Group, allegedly Fano",Prosperity Party official,Crime,"On November 10, 2024, tension heightened in Tigray region Mekelle town a week after news of a peaceful dialogue initiated by religious leaders to resolve internal differences within TPLF faction. The Tigray Region Interim Administration is accusing a faction of the TPLF led by Debretsion to take power by force and this situation creates tension and confusion. A new political movement called ""Tintag Woledo Tigray"" translated as ""Tigray's Fire Generation” has emerged and operating in the region aiming to enable people to exercise free choice and have the right to determine their leaders and live in peace. The movement is clandestine currently and was announced a month ago as a resistance group. ( Borkena Link https://borkena.com/2024/11/10/tigray-region-interim-administration-blames-tplf-faction-over-lust-for-power/ ); https://borkena.com/2024/11/09/tintag-woledo-tigray-new-political-movement-emerges-to-challenge-oppression-in-ethiopias-tigray-region/#google_vignette",yes,0,No,No,Media,Politically Oriented,
2024-11-10,,37PDK7080894541,8.9971,38.7344,Addis Ababa,,Addis Ababa,yes,Grenade,yes,Grenade,Unidentified Armed group,Investor / Businessman,Terrorism,"On November 9th, 2024 Multiple drones strike reportedly targeted Kuyu and Wara Jarso woredas of North Shewa Zone of Oromia Region. On October 27th, drone strike on school reported in the Kuyu Woreda, where OLA fighters were said to be located. In the Wara Jarso Woreda, another strike reportedly killed hundreds of OLA members undergoing military training, unknown number of fighters also injured. Source (wazima Ridio link:t.me/wazema_radio/3183)",No,0,No,No,Media,poltically Oriented,
2024-11-10,,37PEQ5127092000,13.4957,39.4737,Tigray,,Mekelle,No,,No,Tension,TRIA & TPLF,community,Miscellaneous,"On November 8th: Nighttime muggings were reported in the Bole Bulbula area of Addis Ababa, with multiple incidents involving assailants using vehicles to ambush pedestrians. According to residents, there have been at least four similar cases within two weeks where individuals were approached, threatened, and robbed, primarily of valuable items like mobile phones and cash. Community members are urging heightened caution and requested authorities to increase surveillance in high-risk areas to prevent further incidents. (source Tikvah Ethiopia, telegram page t.me/tikvahethiopia/91995 )",No,0,No,No,Media,poltically Oriented,
2024-11-09,,37PDL1926486851,9.8313,38.2637,Oromia,,North Shewa/ Kuyu & Wara Jarso woredas,Yes,Drone,yes,Drone,ENDF,OLA militants,Remote Violence,"November 7th, 2024 In Haro, East Wollega, Oromia, two residents were abducted while en route for medical treatment, with captors demanding 300,000 birr for their release. The abductees were of Amhara descent and recounted that the abductors interrogated the group and targeted an Oromo companion with severe beatings for aiding Amharas. The captors held the abductees in a forest overnight. Payment was made in cash through a local contact, as captors refused bank transfers, and the victims were released after the transaction. Similar kidnappings have been reported in the area, with concerns rising over inadequate security responses despite nearby stationed forces and increased violence against residents. Efforts to reach regional authorities for comment have been unsuccessful.",yes,Yes,No,No,Media,Politically Oriented,
2024-11-08,,37PDK7495692095,8.975,38.7722,Addis Ababa,,Addis Ababa/Bole Bulbula,No,,No,Roberry,Unidentified Robbers,community,Crime,"November 6th, OLF-OLA: The Oromo Liberation Army (OLA) reported two recent offensives against government forces in the Illu Abbaa Booraa and East Arsi zones. The first assault on November 4th in Beenaa, Illu Abbaa Booraa, resulted in 75 fatalities among regime soldiers, 82 wounded, and the capture of weaponry, including machine guns, sniper rifles, and ammunition. A second operation on November 6th in Asakoo, East Arsi, saw 11 government soldiers killed, 17 wounded, and additional arms seized. The OLA stated that it will continue operations to protect civilians in Oromia",No,0,No,No,Media,Crime Oriented,
2024-11-07,,37PBL4380816753,9.1906,36.6685,Oromia,,East Wollega,No,,Yes,Kidnapping,Unidentified Armed group,residents,Crime,"On Nov 5, 2024, at least 43 civilians are reportedly killed in the latest string of drone strike in the Amhara region of Ethiopia. Activists with links to the Amhara region of Ethiopia on Tuesday reported the incident occurred in the South Achefer area of Gojjam. Details of the attack are not available currently. However, graphic images purportedly showing bodies of the victims from the attack are circulating on social media. (source: Borkena link https://borkena.com/2024/11/05/ethiopia-43-civilians-reportedly-killed-as-drone-strikes-worsens-in-amhara-region/ )",No,0,No,No,Media/PLSO,Crime Oriented,
2024-11-06,,37NEJ9039580449,7.9644,39.8202,Oromia,,East Arsi zones,No,,Yes,Killing,OAL,Soldiers,Miscellaneous,"On novenber 5,2024 a drone strike was reported in small city called Arge, north Gojjam,(located about 40 Km awaye from Durbete Town According to eye witnesses report to BBC Amahric ,due to the attack morthan 50 of civilians (children, elders, youths)were killed. Eye witnesses report indicate that the damage was severe.(source: BBC Amharic link https://www.bbc.com/amharic/articles/c5y3l8vkldlo)",yes,Yes,No,No,PLSO,poltical and Crime Oriented,
2024-11-05,,37PBN6934969677,11.478,36.8856,Amhara,,Gojjam/South Achefer,Yes,Drone,yes,Drone Strike,ENDF,Civilians,Remote Violence,"November 3rd, Ahadu Radio Earthquake victims in the Gofa Zone, South Ethiopia Region, reported inadequate support since the disaster struck on July 22nd, which caused numerous deaths and displacement. While initial aid was provided, including over 300 new houses and some humanitarian assistance, survivors say it falls short of meeting ongoing needs. Gofa Zone officials acknowledged the insufficiency and reported working with federal agencies to establish more stable support. They promised further comprehensive relief efforts.( source Ahadu Radio)",yes,0,No,No,Media,poltical and Crime Oriented,
2024-11-05,7:10,37PBN7732156912,11.3631,36.9595,Amhara,,North Gojjam/Arge/Durbete,Yes,Drone,yes,Drone Strike,ENDF,Civilians,Remote Violence,"November 3rd, Ethiopian Reporter: More than 7.1 tons of export-quality coffee, approximately 71,400 kilograms, were seized in Ethiopia after being looted by armed forces. The coffee, prepared for export by Kuru Ethiopia Coffee Development Private Limited, was taken during a robbery on October 27th. Armed individuals threatened the company's security personnel and employees. Following community reports and police cooperation, several suspects were arrested in connection with the incident. Chief Inspector Debre Teresa from the Galan Affaira Sub-City Police Station confirmed that investigations are ongoing. This incident underscores ongoing security challenges facing Ethiopia's coffee export sector, which is vital to the country's economy.",yes,yes,No,No,Media,poltical and Crime Oriented,
2024-11-03,,37NBH9722331233,6.612,37.1659,South Ethiopia,,Gofa Zone,No,,No,Earthquake,N/A,N/A,Natural Disaster,"On November 2, 2024, An earthquake occurred on Friday night in the Awash Fentale area, with tremors felt as far as Addis Ababa. The Addis Ababa University Institute of Geophysics reported it as the second notable earthquake in recent weeks. The strongest tremor registered 4.6 on the Richter scale. While multiple earthquakes have been reported in the region, their low magnitude suggests minimal risk of damage. (source: Ahadu Radio Telegram: Contact @ahaduradio).",No,0,No,No,Media,No,
2024-11-03,,32PMQ8171676474,8.8337,38.8446,Oromia,,Galan sub city,No,,No,Roberry,Armed individuals,Private Company,Crime,"November 2nd,  Oromo Liberation Army OLF-OlA: In an operation in the Ada’aa Bargaa Woreda in West Shewa, the OLA killed 190 soldiers, wounded 150, and captured 45 as prisoners of war, along with seizing substantial military equipment. OLA Central Command targeted regime forces in the Wacaalee Woreda, resulting in the deaths of 120 regime soldiers. The first assault occurred at an army camp in Kaarraa town, where 67 soldiers were killed. In a second operation, OLA forces attacked an army patrol car and a transport truck in the Bachoo Falimii area, neutralizing an additional 53 soldiers. The operations also led to the neutralization of several local administrators known for targeting the community based on alleged OLA affiliations. OLA forces seized a significant arsenal during these offensives.",No,0,No,No,Media/PLSO,,
2024-11-02,12:13,37PDK7312596675,9.0164,38.7555,Addis Ababa,,Addis Ababa,No,,No,Earthquake,N/A,N/A,Natural Disaster,"On Nov 1, 2024, in North Shewa, Dera woreda, Imam of a mosque in Dera woreda of the Oromia region was kidnapped along with twelve family members by unidentified armed group. The relatives of the kidnapped individuals paid 1.5 million birr however the kidnappers killed all of them on Nov 1. The Ethiopian Islamic council confirmed the killing of the Imam but have not said anything about the other family members. (Source: Borkena https://borkena.com/2024/11/04/mosque-imam-killed-in-the-oromia-region-of-ethiopia/ )",No,0,No,No,Media,No,
2024-11-02,12:13,37PDK7312596675,9.0164,38.7555,Addis Ababa,,Addis Ababa,No,,No,Earthquake,N/A,N/A,Natural Disaster,"On Nov 1, 2024, North Shewa Zone Authorities announced that a local official was killed in an attack on Friday. the chief administrator of Wechale district, Mr. Nguse Koru Gurmu, was killed by the armed forces. The news of the killing was posted on the Facebook page of the local Prosperity Party. (Source: VOA Amharic link https://amharic.voanews.com/a/7849792.html)",No,0,No,No,Media,No,
2024-11-02,,37PDL3650922037,9.2454,38.422,Oromia,,West Shewa/ Ada’aa Bargaa Woreda,No,,Yes,Killing,OAL,Soldiers,Miscellaneous,"On Nov 1, 2024, in Sidama region two people died and three people were injured in a landslide accident in Wensho district. (https://amharic.voanews.com/a/south-ethiopia-landslide/7845187.html)",yes,Yes,No,No,PLSO,poltical and Crime Oriented,
2024-11-01,,37PEL2287852760,9.5237,39.2085,Oromia,,North Shewa/Dera woreda,No,,yes,Kidnapping and killing,Unidentified Armed group,Civilains,Crime,"On Nov 1, 2024, in south Ethiopia Region the coordinator of the disaster risk management office of Kao Koisha district of Wolaita Zone confirmed to VOA that seven people belonging to two families died in a landslide that occurred at seven o'clock yesterday. Source https://amharic.voanews.com/a/south-ethiopia-landslide/7845187.html",yes,Uk0wn,Yes,No,Media,poltical and Crime Oriented,
2024-11-01,,37PDL8252541287,9.42,38.8408,Oromia,,North Shewa/Wechale woreda,No,,No,Killing,Unidentified Armed group,Government Official,Crime,"On Nov 1, 2024, more than 60 people were killed by OLA Millitants called ""Shene"" attack targeting the Sodo Gurage tribes in the bordering tribes of the Oromia region. The attack took place in the kebeles of Dugda Bora district, which borders Sodo district of East Gurage zone of Central Ethiopia region. According to reports most were killed after their homes were set on fire (source :https://amharic.voanews.com/a/7849006.html)",yes,0,No,No,Media,Crime Oriented,
2024-11-01,,37NDH4586544407,6.7343,38.5102,Sidama,,Wensho District,No,,No,Lanslide,N/A,N/A,Natural Disaster,"October 31st, Ahadu Radio: A recent study revealed that over 1,600 residents die annually in Addis Ababa due to air pollution from vehicle emissions, mainly carbon monoxide. City officials confirmed that pollutants from fuel-based vehicles are a significant health risk, with respiratory issues affecting a growing number of residents. The head of environmental protection, Didi Diriba, noted that local initiatives are underway to address this urgent issue, acknowledging the impact of vehicle emissions on public health and climate change.",yes,Yes,No,No,Media,No,
2024-11-01,,37NCH3524155700,6.8344,37.509,South Ethiopia,,Wolaita Zone / Koisha District,No,,No,Lanslide,N/A,N/A,Natural Disaster,"Fresh conflict erupted between government forces and Fano in the Jerems Kebele in the Debay Telatgen Woreda, East Gojjam Zone.",yes,0,No,No,Media,No,
2024-11-01,20:00,37PDK7416303479,8.1734,38.7654,Oromia,,East Shewa,No,,Yes,Mass Killing,OLA Millitants,Civilians,Terrorism,Fresh conflict occurred between Fano and government forces on the outskirts of Woldiya City in the North Wollo Zone.,yes,0,Yes,No,Media,poltical and Crime Oriented,
2024-10-31,,37PDK7281297076,9.02,38.7526,Addis Ababa,,Addis Ababa,N/A,,N/A,Air pollution from vehicle emissions,N/A,N/A,Miscellaneous,A fresh conflict erupted between government forces and Fano in the Kelela Woreda in the western part of the South Wollo Zone.,yes,0,No,No,PLSO,N/A,
2024-10-31,,37PCM9275659756,10.49,38.02,Amhara,,East Gojam,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"On October 31st, government security forces launched a fresh attack against Fano in the Sekela Woreda in the West Gojjam Zone of the Amhara Region.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-31,,37PEP6317807821,11.83,39.58,Amhara,,North Wollo,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"October 31st, Wazema Radio: In Oromia, residents of Sheger City expressed growing concern over the demolitions of residential and commercial buildings for a planned development corridor. Many structures, including fuel stations, banks, and hotels, have reportedly been torn down without prior notice or compensation, leading to intense frustration among the displaced residents. Despite plans for local dialogue, efforts to reach an agreement have faltered, and residents reported significant distress as they were forced to relocate without alternative support.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-31,,37PDM9015262907,10.52,38.91,Amhara,,South Wollo,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"October 31st, VOA Amharic: Nine people died, and five others were injured due to landslides in the Sidama and South Ethiopia regions following heavy rainfall. Officials confirmed that the tragedy occurred in the Kawo Koysha Woreda in the Wolaita Zone, affecting two families. Additionally, a similar incident in the Wensho Woreda in the Sidama Region resulted in two fatalities and three injuries, with survivors receiving medical attention.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-31,,37PCN0332415462,10.99,37.2,Amhara,,West Gojam,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"October 31st, DW Amharic: A video circulated on social media showing two teenage girls subjected to sexual assault in Nekemte, Oromia, causing significant public outcry. One of the victims, a 15-year-old student, reported discontinuing her studies due to emotional trauma and harassment. Authorities confirmed the detention of suspects, including one of the alleged perpetrators, while investigations by Oromia’s Women and Children’s Affairs Bureau and Nekemte Police are ongoing.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-31,,37PDK8076677482,8.8429,38.8251,Oromia,,Shger city,N/A,,N/A,Demolitions of residential and commercial buildings,Regional Government,Private Individuals,Miscellaneous,"On October 30th, a renewed clash between government forces and Fano occurred in the Bure Woreda of the West Gojjam Zone.",N/A,N/A,No,No,PLSO,N/A,
2024-10-31,,37NDH4498546372,6.7521,38.5022,Sidama,,Wensho Woreda,N/A,,N/A,Landslide,N/A,N/A,Natural Disaster,"October 30th, Ahadu Radio: In the South Ethiopia Region, illegal fuel sales have driven gasoline prices up to 250-300 ETB per liter in some areas, a situation exacerbated by security forces’ reported failure to enforce regulations. Regional Trade and Development Bureau representatives cited uncooperative enforcement and collusion between security personnel and black-market dealers as key issues. While local officials are coordinating with federal authorities for a sustainable solution, they note that unauthorized trading continues to severely impact transportation and public access to fuel.",yes,yes,Yes,No,PLSO,N/A,
2024-10-31,,37PBL3097205494,9.0881,36.5525,Oromia,,Nekemte,N/A,,N/A,Sexual Assault,Perpetrators,Teenage girls,Crime,"October 30th, Wazema Radio: A landslide in the Kawo Koysha Woreda of the Wolayta Zone in the South Ethiopia Region, resulted in the deaths of seven people, including five women, with two additional individuals suffering serious injuries. The disaster, which affected two villages, is attributed to recent heavy rainfall in the area. Officials note that landslides, particularly during the rainy season, have been a recurring hazard in the South Ethiopia Region, including in the Gofa Zone, posing significant threats to residents' safety.",No,0,No,No,PLSO,N/A,
2024-10-30,,37PBM8551064682,10.53,37.04,Amhara,,West Gojam,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"An intense conflict between government security forces and Fano erupted in the Merhabete Woreda, North Shewa Zone, following an ambush attack that led to massive casualties.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-30,,37NAJ9475916956,7.3823,36.2352,South Ethiopia,,South Ethiopia,N/A,,N/A,Gasoline prices increases,N/A,N/A,Miscellaneous,"On October 30th, intense fighting between government forces and Fano erupted in the Baket and Shahe areas of the Kelela Woreda in the South Wollo Zone.",N/A,N/A,No,No,PLSO,N/A,
2024-10-30,,37NBH9804685814,7.1055,37.1714,South Ethiopia,,Wolita Zone,N/A,,N/A,Killing,N/A,N/A,Natural Disaster,"On October 30th, Fano reportedly ambushed government security forces in the Abeter Mariam locality near Finote Selam City in the West Gojjam Zone of the Amhara Region.",yes,yes,Yes,No,PLSO,N/A,
2024-10-30,,37PDM9013812047,10.06,38.91,Amhara,,North Shewa Zone,No,,No,Military Action,FANOS,ENDF,Miscellaneous,"On October 29, intense fighting broke out between government security forces and Fano in Mure Sefer, Kebele 03, Kolla Diba town in the Dembia Woreda of the Centeral Gonder Zone in the Amhara Region.",yes,yes,No,No,PLSO,Conflict Oriented,
2024-10-30,,37PDM9015262907,10.52,38.91,Amhara,,South Wollo Zone,No,,No,Military Action,ENDF and FANOs,ENDF and FANOs,Miscellaneous,"On October 29th, heavy clashes between government security forces and Fano erupted in the Digo Tsiyon area in the administrative center of the Bibugn Woreda of the East Gojjam Zone.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-30,,37PCM0859882245,10.69,37.25,Amhara,,West Gojam,No,,No,Military Action,FANOS,ENDF,Miscellaneous,"On October 29th, the conflict between government forces and Fano in Metema intensified after a brief break. Reportedly the conflict took place in Dil Ber, Kokit, Mender 6, and Wondi Gemzo in the Metema Woreda of West Gondar Zone.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-29,,37PCP2172372439,12.41,37.36,Amhara,,Centeral Gonder Zone,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"October 29th at around 11:00 PM, Fano militants launched a bomb attack on the Lemi military camp in the Wogde Woreda, South Wollo Zone, causing significant casualties.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-29,,37PCM6227399679,10.85,37.74,Amhara,,East Gojjam Zone,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"October 29th, FDRE Defense Force: The Ethiopian Federal Defense Force’s Southern Command conducted an operation against the OLA in the Eastern Arsi Zone, reportedly resulting in significant losses for the OLA. The defense forces reported that the operation led to 28 fighters surrendering and confiscating several weapons.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-29,,37PBQ1777319758,12.83,36.4,Amhara,,West Gondar Zone,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"October 29th, OLF-OLA: The Oromo Liberation Front reported that their forces have captured 143 regime soldiers in the past four days. They also claimed that approximately 1,900 regime troops had been killed in action and that multiple 3F patrols and key military transport vehicles were neutralized, aiming to disrupt the regime’s logistics and battlefield mobility. The OLA’s Central Command showcased a partial display of weapons seized from government forces in Daraa, including a range of firearms, ammunition, and tactical equipment. In a related operation, a unit of the OLA’s Central Command reportedly captured heavy machine guns from government forces in Hidhaabuu Abootee, North Shewa. These seizures underscore the intensifying conflict dynamics in the region as both sides vie for control over strategic resources and leverage captured equipment to bolster their respective positions.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-29,Late Night,37PDM7265575079,10.63,38.75,Amhara,,South Wollo Zone,Yes,Bomb,yes,Bomb,FANOS,ENDF,Explosives/Remote Violence,"On October 29, Fano reportedly ambushed government security forces in the Hondash locality at around 5:00 PM while they were traveling from Jiga town in the Jabi Tehnan Woreda to Finote Selam City, the capital of West Gojjam Zone.",yes,yes,No,No,PLSO,Conflict Oriented,
2024-10-29,,37NEJ4306683286,7.9907,39.3908,Oromia,,Eastern Arsi Zone,No,,No,Military Action,ENDF,OLA,Miscellaneous,"On October 28th, an explosion, possibly from a grenade attack, occurred in the Dona Ber area in Kebele 14 of Bahir Dar City.",No,0,No,No,PLSO,Political Oriented,
2024-10-29,,37PDL8050530755,9.3247,38.8225,Oromia,,North Shewa,No,,No,Military Action,OLA,ENDF,Miscellaneous,An armed conflict erupted between government forces and the OLA in the Shanafa locality in the Chawaka Woreda of the Buno Bedele Zone.,yes,0,No,No,PLSO,Political Oriented,
2024-10-29,Late Afternoon,37PCM1292573371,10.61,37.29,Amhara,,West Gojjam Zone,No,,No,Military Action,FANOS,ENDF,Miscellaneous,"On October 28th, fresh conflict erupted between government forces and Fano in areas including Minziro, Birbaux, and the Jangila Mariam Kebele in the Gondar Zuriya Woreda of Centeral Gondar Zone.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-28,,37PCN2335880612,11.58,37.38,Amhara,,Bahir Dar,Yes,Grenade,yes,Grenade attack,UAG,House of the Amhara regional Anti Riot Force,Explosives/Remote Violence,"Fresh conflict erupted between government security forces and Fano in the area known as Gicha in the Dera Woreda, South Gondar Zone.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-28,,37PAK8316476173,8.82,36.12,Oromia,,Buno Bedele Zone,No,,No,Battle,OLA and ENDF,OLA and ENDF,Explosives/Remote Violence,"On October 28th, a clash broke out between government security forces and Fano, particularly in the Kormor area of the Metema Woreda, West Gondar Zone.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-28,,37PCP3477773468,12.42,37.48,Amhara,,Central Gonder,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"October 28th, Wazema Radio: In the Horro Guduru Wollega Zone, a curfew was imposed due to ongoing clashes between government security forces and the Oromo Liberation Army (OLA). Local sources report that movement is restricted from 6pm to 6 am, affecting residents and vehicles in Shambu town and areas like Habbabo Guduru, Abay Chomen, and Sululta Fincha. Additionally, reports indicate widespread detentions by security forces, especially in rural areas, as part of an intensified security crackdown.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-28,,37PCN5173985995,11.63,37.64,Amhara,,South Gonder,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"On October 28th, a fire incident occurred in an between Dire Dawa and the Sitti Zone in the Somali Region, disrupting train transportion.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-28,,37PBQ1777319758,12.83,36.4,Amhara,,West Gondar Zone,No,,No,Battle,ENDF and FANOs,ENDF and FANOs,Explosives/Remote Violence,"On October 28th, unknown assailants reportedly abducted four civilians in Hare Kelo Town in the East Borena Zone.",No,0,No,No,PLSO,Conflict Oriented,
2024-10-28,,37PBL9449686641,9.825,37.1262,Oromia,,Horo Guduru,No,,No,Curfew and Mass arrest,ENDF,Residents,Miscellaneous,On october 28 around 7:00 pm a public bus which transports governemnt employees from their work place in Addis to their residences in Chanco were kidnapped by unidentified armed group on a location between Sululta and Chancho(Meseret Media),No,0,No,No,PLSO,Political Oriented,
2024-10-28,,37PHL1257394586,9.89,41.85,Dire Dawa,,Between Dire Dawa and the Sitti Zone in the Somali Region,No,,No,Fire Accident,Uknown,N/A,Miscellaneous,"On October 27th, heavy armed conflict occurred between government security forces and Fano in the Ambo Meda and Kulkuwal Ber areas of the Gondar Zuriya Woreda in the Central Gondar Zone.",No,0,No,No,PLSO,N/A,
